effectif,nombre_OF,pct_total,cumul_OF,cumul_pct
0,46699,30.302971,46699,30.302971
1,67973,44.107665,114672,74.410637
2,7976,5.175625,122648,79.586261
3,4622,2.999215,127270,82.585476
4,3482,2.259469,130752,84.844945
5,2517,1.633281,133269,86.478226
6,1979,1.284173,135248,87.762399
7,1473,0.955829,136721,88.718228
8,1331,0.863686,138052,89.581914
9,1109,0.719630,139161,90.301544
10,984,0.638517,140145,90.940061
11,851,0.552214,140996,91.492275
12,723,0.469155,141719,91.961429
13,628,0.407509,142347,92.368938
14,565,0.366628,142912,92.735567
15,567,0.367926,143479,93.103493
16,465,0.301738,143944,93.405231
17,459,0.297845,144403,93.703076
18,384,0.249178,144787,93.952254
19,342,0.221924,145129,94.174178
20,382,0.247880,145511,94.422057
21,328,0.212839,145839,94.634897
22,301,0.195319,146140,94.830215
23,255,0.165469,146395,94.995685
24,243,0.157683,146638,95.153367
25,223,0.144705,146861,95.298072
26,242,0.157034,147103,95.455106
27,209,0.135620,147312,95.590726
28,180,0.116802,147492,95.707528
29,163,0.105771,147655,95.813299
30,174,0.112909,147829,95.926207
31,141,0.091495,147970,96.017702
32,151,0.097984,148121,96.115686
33,143,0.092793,148264,96.208479
34,144,0.093442,148408,96.301920
35,166,0.107717,148574,96.409637
36,147,0.095388,148721,96.505026
37,116,0.075272,148837,96.580298
38,87,0.056454,148924,96.636752
39,110,0.071379,149034,96.708131
40,107,0.069432,149141,96.777564
41,102,0.066188,149243,96.843751
42,109,0.070730,149352,96.914481
43,82,0.053210,149434,96.967691
44,92,0.059699,149526,97.027390
45,81,0.052561,149607,97.079951
46,77,0.049965,149684,97.129916
47,69,0.044774,149753,97.174690
48,90,0.058401,149843,97.233091
49,70,0.045423,149913,97.278514
50,75,0.048667,149988,97.327182
51,66,0.042827,150054,97.370009
52,88,0.057103,150142,97.427112
53,71,0.046072,150213,97.473184
54,56,0.036338,150269,97.509523
55,70,0.045423,150339,97.554946
56,72,0.046721,150411,97.601666
57,61,0.039583,150472,97.641249
58,58,0.037636,150530,97.678885
59,56,0.036338,150586,97.715224
60,60,0.038934,150646,97.754158
61,55,0.035689,150701,97.789847
62,48,0.031147,150749,97.820995
63,44,0.028552,150793,97.849546
64,28,0.018169,150821,97.867715
65,45,0.029200,150866,97.896916
66,42,0.027254,150908,97.924170
67,40,0.025956,150948,97.950126
68,44,0.028552,150992,97.978677
69,41,0.026605,151033,98.005282
70,44,0.028552,151077,98.033834
71,45,0.029200,151122,98.063034
72,28,0.018169,151150,98.081203
73,35,0.022711,151185,98.103915
74,31,0.020116,151216,98.124031
75,32,0.020765,151248,98.144795
76,36,0.023360,151284,98.168156
77,30,0.019467,151314,98.187623
78,34,0.022063,151348,98.209685
79,30,0.019467,151378,98.229152
80,38,0.024658,151416,98.253811
81,30,0.019467,151446,98.273278
82,29,0.018818,151475,98.292096
83,21,0.013627,151496,98.305723
84,32,0.020765,151528,98.326487
85,28,0.018169,151556,98.344657
86,27,0.017520,151583,98.362177
87,23,0.014925,151606,98.377102
88,23,0.014925,151629,98.392026
89,23,0.014925,151652,98.406951
90,23,0.014925,151675,98.421876
91,22,0.014276,151697,98.436152
92,14,0.009085,151711,98.445236
93,21,0.013627,151732,98.458863
94,24,0.015574,151756,98.474437
95,18,0.011680,151774,98.486117
96,14,0.009085,151788,98.495201
97,12,0.007787,151800,98.502988
98,27,0.017520,151827,98.520508
99,26,0.016871,151853,98.537380
100,31,0.020116,151884,98.557496
