rang,denomination,departement,stagiaires_confies,stagiaires_total,ratio_confies,specialite_principale
1,IFIS  INTERACTIVE,-,10124,8582,118.0%,Transformations chimiques et apparentées (y compris pharmaceutiques)
2,1ER GEST UMFI,95,6105,1287,474.4%,"Sécurité des biens et des personnes, police, surveillance"
3,ORECA,83,4517,0,-,Autres...
4,TIGER FORMATIONS,62,3880,189,2052.9%,Formations générales
5,FormaCap - CapEntreprendre,57,3654,75,4872.0%,"Ressources humaines, gestion du personnel, gestion de l'emploi"
6,F.C.E.,-,3485,0,-,"Transport, manutention, magasinage"
7,SOCIETE FINANCIERE XAVIER HALLIGON - UP'TEAMHOMME,-,3408,3540,96.3%,"Ressources humaines, gestion du personnel, gestion de l'emploi"
8,LINGUISTIC COMMUNICATION,-,3340,0,-,Non renseigné
9,I WE I ENTREZ EN MOUVEMENT,78,3072,0,-,"Ressources humaines, gestion du personnel, gestion de l'emploi"
10,STEPS CONSULTING,-,2843,121,2349.6%,Développement des capacités comportementales et relationnelles
11,SET UP,51,2807,186,1509.1%,"Sciences sociales (y compris démographie, anthropologie)"
12,PREV'ACTION AERO,-,2793,214,1305.1%,"Sécurité des biens et des personnes, police, surveillance"
13,INTERNATIONAL HOUSE NANCY COEUR D'EUROPE,54,2770,2848,97.3%,Formations générales
14,Madame LAURIENNE RIOU,77,2732,0,-,"Enseignement, formation"
15,ESCALE CREATION,69,2697,237,1138.0%,"Agro-alimentaire, alimentation, cuisine"
16,ESSENTIA35,35,2336,5,46720.0%,"Commerce, vente"
17,CABINET FCB,16,2305,0,-,Non renseigné
18,PANDA Prévention,78,2258,68,3320.6%,"Electricité, électronique (non compris automatisme et productique)"
19,GEECO FORMATION,34,2239,9,24877.8%,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles"
20,PREVAFORM,-,2210,0,-,Non renseigné
