rang,denomination,effectif,stagiaires,stagiaires_par_formateur,region,specialite
1,DIGITAL SKILLS FOUNDATION,5,66855,13371.0,Auvergne-Rhône-Alpes,"Enseignement, formation"
2,BUTTERFLY AERO TRAINING,7,59466,8495.1,Île-de-France,"Transport, manutention, magasinage"
3,ORICA,5,14298,2859.6,Hauts-de-France,"Finances, banque, assurances"
4,INFANS GROUP,4,11827,2956.8,Auvergne-Rhône-Alpes,Linguistique
5,P.E.C.S.  FRANCE,8,10648,1331.0,Île-de-France,"Enseignement, formation"
6,KAPTITUDE SAS,9,10254,1139.3,Île-de-France,"Sécurité des biens et des personnes, police, surveillance"
7,COOP-EGAL SARL,8,9180,1147.5,Occitanie,"Ressources humaines, gestion du personnel, gestion de l'emploi"
8,KALEA FORMATION POUR LE DEVELOPPEMENT,6,9069,1511.5,Île-de-France,"Finances, banque, assurances"
9,SINFONI,8,8739,1092.4,Bretagne,"Electricité, électronique (non compris automatisme et productique)"
10,IFIS  INTERACTIVE,6,8582,1430.3,Île-de-France,Transformations chimiques et apparentées (y compris pharmaceutiques)
11,SARL CVH,7,8401,1200.1,Occitanie,"Développement des capacités d'orientation, d'insertion ou de réinsertion sociales et professionnelles"
12,I KNOW U WILL,4,8000,2000.0,Île-de-France,Autres...
13,YOOZ,9,7460,828.9,Occitanie,"Informatique, traitement de l'information, réseaux de transmission des données"
14,ACCORDIA,9,7277,808.6,Île-de-France,"Ressources humaines, gestion du personnel, gestion de l'emploi"
15,SELARL HAAS SOCIETE D'AVOCATS,10,7235,723.5,Île-de-France,"Droit, sciences politiques"
16,FRANCE PROTECTION FEU,4,6972,1743.0,Centre-Val de Loire,"Sécurité des biens et des personnes, police, surveillance"
17,MCDONALD'S FRANCE SERVICES,10,6959,695.9,Île-de-France,Développement des capacités comportementales et relationnelles
18,REVERTO,7,6820,974.3,Auvergne-Rhône-Alpes,Développement des capacités comportementales et relationnelles
19,FAC & ASSOCIES,8,6706,838.2,Auvergne-Rhône-Alpes,"Droit, sciences politiques"
20,L'ECOLE DES METIERS DU FRAIS,8,6642,830.2,Auvergne-Rhône-Alpes,"Commerce, vente"
21,LAWREA,6,6482,1080.3,Auvergne-Rhône-Alpes,Spécialités plurivalentes des services
22,GENESIA FINANCE,10,6382,638.2,Île-de-France,"Finances, banque, assurances"
23,AM&JT,9,6298,699.8,Occitanie,"Finances, banque, assurances"
24,ANESTHESIA SAFETY NETWORK,8,5862,732.8,Île-de-France,Sciences de la vie
25,CLAUDEPORET,9,5740,637.8,Île-de-France,"Enseignement, formation"
26,VB MANAGEMENT,10,5672,567.2,Provence-Alpes-Côte d'Azur,"Sécurité des biens et des personnes, police, surveillance"
27,FMS INCENDIE,6,5626,937.7,Hauts-de-France,"Sécurité des biens et des personnes, police, surveillance"
28,ASSOCIATION NATIONALE CONSEILS FINANCIERS   CIF,9,5359,595.4,Île-de-France,"Finances, banque, assurances"
29,ASSISTANCE CONSEIL FORMATION,6,5304,884.0,Bourgogne-Franche-Comté,"Sécurité des biens et des personnes, police, surveillance"
30,DID SECURITE,9,5217,579.7,Grand Est,"Sécurité des biens et des personnes, police, surveillance"
31,FORMEXPERT,7,5067,723.9,Nouvelle-Aquitaine,Formations générales
32,EVOLIS FORMATION,10,4975,497.5,Hauts-de-France,"Enseignement, formation"
33,TECC FORMATION,10,4392,439.2,Pays de la Loire,"Sécurité des biens et des personnes, police, surveillance"
34,SOC EUROPEENNE DE CONTROLE TECHNIQUE AUTOMOBILE (AUTOSUR),9,4187,465.2,Île-de-France,Moteurs et mécanique auto
35,LEMON ADDS,5,4095,819.0,Nouvelle-Aquitaine,Développement des capacités comportementales et relationnelles
36,FRANCE ELEVATEUR,4,4048,1012.0,Grand Est,"Spécialités plutitechnologiques, mécanique-électricité"
37,SECURIFORM,10,4043,404.3,Hauts-de-France,"Sécurité des biens et des personnes, police, surveillance"
38,EGS (NOM COMMERCIAL FORMAFORCE),5,3985,797.0,Hauts-de-France,Bâtiment: construction et couverture
39,ACADEMY DE LA FORMATION - SARL D.E.P.,10,3948,394.8,Normandie,Formations générales
40,M&BOCA,5,3922,784.4,Nouvelle-Aquitaine,Spécialités plurivalentes de la communication
41,CENTAURE ILE DE FRANCE,9,3908,434.2,Île-de-France,"Enseignement, formation"
42,FOCUS QUALITE,5,3752,750.4,Occitanie,Santé
43,SENIOR DENTAL CONFORT,3,3735,1245.0,Île-de-France,Santé
44,ERVE Philippe - PREV-ONE FORMATION,5,3645,729.0,Pays de la Loire,"Sécurité des biens et des personnes, police, surveillance"
45,SELFORME,9,3563,395.9,Bourgogne-Franche-Comté,"Energie, génie climatique"
46,SOCIETE FINANCIERE XAVIER HALLIGON - UP'TEAMHOMME,5,3540,708.0,Pays de la Loire,"Ressources humaines, gestion du personnel, gestion de l'emploi"
47,AFOR+ SAS,9,3407,378.6,Occitanie,Travail social
48,IDEAL PREVENTION SECURITE AUDIT CONSEIL,10,3386,338.6,Auvergne-Rhône-Alpes,"Transport, manutention, magasinage"
49,ARCHE LIVIA,7,3352,478.9,Provence-Alpes-Côte d'Azur,Spécialités plurivalentes sanitaires et sociales
50,GUY HOQUET L'IMMOBILIER,7,3293,470.4,Île-de-France,"Commerce, vente"
